targetId,comparatorId,outcomeId,outcomeName,type
968,969,434165,Abnormal cervical smear,outcome
968,969,436409,Abnormal pupil,outcome
968,969,199192,Abrasion and/or friction burn of trunk without infection,outcome
968,969,4088290,Absence of breast,outcome
968,969,4092879,Absent kidney,outcome
968,969,436634,Acariasis,outcome
968,969,44783954,Acid reflux,outcome
968,969,75911,Acquired hallux valgus,outcome
968,969,137951,Acquired keratoderma,outcome
968,969,77965,Acquired trigger finger,outcome
968,969,376707,Acute conjunctivitis,outcome
968,969,4103640,Amputated foot,outcome
968,969,432595,Amyloidosis,outcome
968,969,73241,Anal and rectal polyp,outcome
968,969,437082,Ankylosing spondylitis,outcome
968,969,77650,Aseptic necrosis of bone,outcome
968,969,378424,Astigmatism,outcome
968,969,374923,Bell's palsy,outcome
968,969,4110709,Benign epithelial neoplasm of skin,outcome
968,969,133655,Burn of forearm,outcome
968,969,73560,Calcaneal spur,outcome
968,969,434327,Cannabis abuse,outcome
968,969,4213540,Cervical somatic dysfunction,outcome
968,969,381581,Chalazion,outcome
968,969,140842,Changes in skin texture,outcome
968,969,438531,Chondromalacia,outcome
968,969,81378,Chondromalacia of patella,outcome
968,969,432303,Cocaine abuse,outcome
968,969,4201390,Colostomy present,outcome
968,969,46269889,Complication due to Crohn's disease,outcome
968,969,134438,Contact dermatitis,outcome
968,969,78619,Contusion of knee,outcome
968,969,201606,Crohn's disease,outcome
968,969,260134,Croup,outcome
968,969,76786,Derangement of knee,outcome
968,969,443767,Diabetic oculopathy,outcome
968,969,4115402,Difficulty sleeping,outcome
968,969,45757370,Disproportion of reconstructed breast,outcome
968,969,433111,Effects of hunger,outcome
968,969,441589,Endocarditis,outcome
968,969,200775,Endometrial hyperplasia,outcome
968,969,433527,Endometriosis,outcome
968,969,73008,Enthesopathy,outcome
968,969,4249170,Epicondylitis,outcome
968,969,4170770,Epidermoid cyst,outcome
968,969,4345472,Epstein-Barr virus disease,outcome
968,969,4092896,Feces contents abnormal,outcome
968,969,259995,Foreign body in orifice,outcome
968,969,4050747,Fracture of upper limb,outcome
968,969,196456,Gallstone,outcome
968,969,40481632,Ganglion cyst,outcome
968,969,4166231,Genetic predisposition,outcome
968,969,74855,Genital herpes simplex,outcome
968,969,433577,Hammer toe,outcome
968,969,441818,Hemangioma,outcome
968,969,4231770,Hereditary thrombophilia,outcome
968,969,440329,Herpes zoster without complication,outcome
968,969,4012570,High risk sexual behavior,outcome
968,969,4038835,Hodgkin's disease,outcome
968,969,4012934,Homocystinuria,outcome
968,969,441788,Human papilloma virus infection,outcome
968,969,380688,Hypoglycemic coma,outcome
968,969,4254542,Hypopituitarism,outcome
968,969,4201717,Ileostomy present,outcome
968,969,374375,Impacted cerumen,outcome
968,969,140480,Impetigo,outcome
968,969,4344500,Impingement syndrome of shoulder region,outcome
968,969,139099,Ingrowing nail,outcome
968,969,444132,Injury of knee,outcome
968,969,434926,Iridocyclitis,outcome
968,969,196168,Irregular periods,outcome
968,969,75576,Irritable bowel syndrome,outcome
968,969,432593,Kwashiorkor,outcome
968,969,434203,Late effect of contusion,outcome
968,969,438329,Late effect of motor vehicle accident,outcome
968,969,443285,Lesion of cervix,outcome
968,969,195873,Leukorrhea,outcome
968,969,440638,Lyme disease,outcome
968,969,4083487,Macular drusen,outcome
968,969,4156115,Malignant neoplasm of endocrine gland,outcome
968,969,4103703,Melena,outcome
968,969,4134455,Mononeuropathy,outcome
968,969,4209423,Nicotine dependence,outcome
968,969,377572,Noise effects on inner ear,outcome
968,969,40480893,Nonspecific tuberculin test reaction,outcome
968,969,136368,Non-toxic multinodular goiter,outcome
968,969,4215978,Onychomycosis,outcome
968,969,140648,Onychomycosis due to dermatophyte,outcome
968,969,438130,Opioid abuse,outcome
968,969,75354,Osteochondropathy,outcome
968,969,192606,Paraplegia,outcome
968,969,4091513,Passing flatus,outcome
968,969,4112731,Polyp of intestine,outcome
968,969,4202045,Postviral fatigue syndrome,outcome
968,969,373478,Presbyopia,outcome
968,969,46286594,Problem related to lifestyle,outcome
968,969,439790,Psychalgia,outcome
968,969,81634,Ptotic breast,outcome
968,969,253954,Pulmonary tuberculosis,outcome
